dates,gdp,p_elec,c_cement,m_ind_inp,cred_mn
2009-05-01,1.91612091673856,1.88704128253783,-0.531013485051568,-17.9561612326127,35.7710899554221
2009-06-01,-2.85850364942411,-2.84692445493284,-1.91900782736431,-37.2788402757639,31.6162519072561
2009-07-01,-1.39073716717304,-2.67326788147489,5.80184100011733,-22.7372142642068,29.5345861869817
2009-08-01,0.885386615421027,-0.435019360871916,4.92244918053559,-19.5653431108603,27.7044393198124
2009-09-01,0.238372752604143,0.249597934830529,2.45179945048402,-25.9830193340826,26.5339135259289
2009-10-01,1.26402780914988,-0.470286547832751,9.6222974926602,-4.76871756917624,22.3307443622138
2009-11-01,2.66528973343221,3.87046751173615,12.4654853998716,15.3572637671727,19.8751889227959
2009-12-01,4.17926067197792,6.82201748567423,10.8292622667462,16.9547856222077,17.936747945073
2010-01-01,3.09972391353283,5.94322637965555,10.8689729434766,12.8304584254574,16.7956870906969
2010-02-01,5.09543337660039,6.51088853432183,15.9255885579728,36.3313304726947,17.0472004480303
2010-03-01,8.13674544684667,8.49330994440583,25.2386346902783,41.1565739443589,16.5550633694087
2010-04-01,7.97224782716989,8.38752610160153,19.730323148376,38.8920732261189,17.8749478234213
2010-05-01,7.53505891680258,7.9825528059256,19.1955458905346,25.6215824369888,18.7503563670532
2010-06-01,12.8277886968918,12.4643555319299,22.2359759299898,55.5641728900717,20.648015134291
2010-07-01,9.91182337558439,12.8627018593478,12.6572263863834,39.4506587110838,21.7547744166821
2010-08-01,8.72290742396008,9.17517936384931,13.9503386361984,43.0125934068442,21.660756412366
2010-09-01,10.0652764076685,7.75648992214036,22.0262882364016,38.0075552560533,20.6777549824203
2010-10-01,9.42619659579106,9.58393002572471,10.1700350855592,13.3509604225426,19.5947965774373
2010-11-01,8.83483792308899,9.00015152968224,22.8956879266676,11.9930995409121,19.7154269085762
2010-12-01,7.81208997355085,7.56957145422355,15.5560423666966,22.2635460846778,21.1773931893582
2011-01-01,9.5652497086741,9.06728428801959,7.21655904283477,24.7453876112013,21.4826260210891
2011-02-01,8.05782384287962,9.35417286840923,6.68435071105796,18.7972732957523,21.5337880171784
2011-03-01,7.68530922921612,8.24476692247289,1.38980101203032,15.5974948054326,21.5437448907874
2011-04-01,7.42562507006184,8.11267272394741,-0.601847498155195,13.1235137612287,21.0351356700272
2011-05-01,5.54189060140848,9.37455605374435,3.76009228693851,31.8009183660849,21.5613955270275
2011-06-01,2.98101892246194,8.62056149780632,-1.02460174519632,4.4364611587517,20.7245123041083
2011-07-01,6.06506418190559,8.29229835104366,0.33402323771578,-3.32760988928419,19.6030002638405
2011-08-01,6.48080840765518,9.59046880685873,7.12492701182333,3.70016604831853,19.4354121401381
2011-09-01,4.90474969330483,8.80668655872012,-1.12394350137696,6.15645106594067,20.1750217633696
2011-10-01,4.45652491476646,8.26504031918875,8.43742340657824,0.9486634404313,21.0800059140899
2011-11-01,4.7422710830508,7.70210249621088,-0.583278001504256,4.87943642745981,20.5995725467217
2011-12-01,8.66694517378306,8.12014131695785,8.62536072585423,6.74838266565651,20.3718770770765
2012-01-01,5.45160918750416,5.56857442837664,12.8826060998293,11.0233234365884,19.790438974504
2012-02-01,7.05458213773633,7.78823522526939,11.4601642185911,8.49190950876501,19.1648752140472
2012-03-01,5.85695279967355,6.34558501361731,15.560817850601,0.438105549853918,18.8185518213956
